client_id,visit_id,process_step,date_time,variation,tenure_years,age
9358626,223297395_36250329195_832161,start,2017-04-28 12:27:28,Control,5.0,24.5
9358626,223297395_36250329195_832161,start,2017-04-28 12:27:28,Control,5.0,24.5
5376894,688984457_43441834354_912755,start,2017-04-28 14:20:01,Test,13.0,48.0
5376894,688984457_43441834354_912755,start,2017-04-28 14:20:01,Test,13.0,48.0
438567,330543236_29863358529_771432,start,2017-04-28 02:52:29,Test,15.0,38.0
438567,330543236_29863358529_771432,start,2017-04-28 02:52:29,Test,15.0,38.0
1423857,568819166_80596727019_75889,confirm,2017-04-10 22:44:58,Control,8.0,37.5
1423857,568819166_80596727019_75889,confirm,2017-04-10 22:44:58,Control,8.0,37.5
372523,25331354_74479847014_854987,start,2017-04-27 10:51:26,Control,6.0,57.5
372523,25331354_74479847014_854987,start,2017-04-27 10:51:26,Control,6.0,57.5
372523,994648125_58408610255_188169,start,2017-04-26 10:11:41,Control,6.0,57.5
372523,994648125_58408610255_188169,start,2017-04-26 10:11:41,Control,6.0,57.5
5119497,628455620_53906557415_414309,start,2017-04-27 18:21:42,Control,20.0,46.5
5119497,628455620_53906557415_414309,start,2017-04-27 18:21:42,Control,20.0,46.5
2657900,397060281_16070793553_843262,start,2017-04-26 20:03:43,Control,5.0,35.5
2657900,397060281_16070793553_843262,start,2017-04-26 20:03:43,Control,5.0,35.5
1314809,781005548_66255356230_674283,start,2017-04-29 01:25:07,Control,6.0,44.5
1314809,781005548_66255356230_674283,start,2017-04-29 01:25:07,Control,6.0,44.5
7375067,710776986_46016624330_819876,start,2017-04-27 09:53:00,Control,6.0,44.0
7375067,710776986_46016624330_819876,start,2017-04-27 09:53:00,Control,6.0,44.0
42296,706376913_10734857558_811890,start,2017-04-26 11:35:32,Control,28.0,81.0
42296,706376913_10734857558_811890,start,2017-04-26 11:35:32,Control,28.0,81.0
7746715,604469645_25766937639_923416,start,2017-04-28 10:27:14,Test,10.0,25.5
7746715,604469645_25766937639_923416,start,2017-04-28 10:27:14,Test,10.0,25.5
1399670,94249908_45050261662_851499,start,2017-04-26 20:02:07,Control,25.0,45.0
1399670,94249908_45050261662_851499,start,2017-04-26 20:02:07,Control,25.0,45.0
1696504,824308806_15773019792_227761,start,2017-04-26 10:00:17,Control,24.0,56.5
1696504,824308806_15773019792_227761,start,2017-04-26 10:00:17,Control,24.0,56.5
2839247,441113199_35828449456_433267,start,2017-04-27 13:43:39,Control,13.0,39.5
2839247,441113199_35828449456_433267,start,2017-04-27 13:43:39,Control,13.0,39.5
3982600,164676262_45012182860_512326,start,2017-04-26 15:34:53,Control,19.0,65.5
3982600,164676262_45012182860_512326,start,2017-04-26 15:34:53,Control,19.0,65.5
8095423,187225339_28563479871_743287,step_3,2017-04-06 15:23:06,Control,6.0,59.5
8095423,187225339_28563479871_743287,step_3,2017-04-06 15:23:06,Control,6.0,59.5
7887156,792033992_14192694767_139541,start,2017-04-27 14:14:07,Control,26.0,72.5
7887156,792033992_14192694767_139541,start,2017-04-27 14:14:07,Control,26.0,72.5
589393,337798028_59648591485_316398,start,2017-04-28 14:04:36,Test,11.0,66.5
589393,337798028_59648591485_316398,start,2017-04-28 14:04:36,Test,11.0,66.5
1622925,428567881_76656175639_126030,start,2017-04-28 09:52:26,Test,12.0,55.5
1622925,428567881_76656175639_126030,start,2017-04-28 09:52:26,Test,12.0,55.5
2529822,894223015_19947972572_53102,step_3,2017-04-07 14:43:16,Test,16.0,77.5
2529822,894223015_19947972572_53102,step_3,2017-04-07 14:43:16,Test,16.0,77.5
1061161,172358498_40788169743_249177,start,2017-04-26 11:50:46,Control,15.0,77.0
1061161,172358498_40788169743_249177,start,2017-04-26 11:50:46,Control,15.0,77.0
5033489,189139078_66740520861_787653,start,2017-04-28 21:11:40,Control,8.0,40.5
5033489,189139078_66740520861_787653,start,2017-04-28 21:11:40,Control,8.0,40.5
9128400,244209822_97788640363_965772,confirm,2017-04-09 12:22:19,Test,7.0,60.5
9128400,244209822_97788640363_965772,confirm,2017-04-09 12:22:19,Test,7.0,60.5
1546314,843391941_64188841369_551539,start,2017-04-28 22:40:59,Control,8.0,31.0
1546314,843391941_64188841369_551539,start,2017-04-28 22:40:59,Control,8.0,31.0
8462755,286932946_40252765836_34039,start,2017-04-29 07:43:17,Control,18.0,60.5
8462755,286932946_40252765836_34039,start,2017-04-29 07:43:17,Control,18.0,60.5
8462755,286932946_40252765836_34039,start,2017-04-29 07:40:53,Control,18.0,60.5
8462755,286932946_40252765836_34039,start,2017-04-29 07:40:53,Control,18.0,60.5
9340301,631396440_41322168115_361106,confirm,2017-03-30 13:44:59,Control,6.0,61.5
9340301,631396440_41322168115_361106,confirm,2017-03-30 13:44:59,Control,6.0,61.5
9603341,244513501_508521115_673062,step_3,2017-04-22 12:55:17,Control,6.0,55.5
9603341,244513501_508521115_673062,step_3,2017-04-22 12:55:17,Control,6.0,55.5
6019257,69878257_84203546206_619260,step_3,2017-04-01 20:41:11,Control,6.0,68.5
6019257,69878257_84203546206_619260,step_3,2017-04-01 20:41:11,Control,6.0,68.5
2563749,538528872_3800793864_490062,start,2017-04-29 15:08:35,Control,23.0,25.5
2563749,538528872_3800793864_490062,start,2017-04-29 15:08:35,Control,23.0,25.5
2077336,248611958_66638804307_692310,start,2017-04-26 18:57:37,Control,22.0,72.0
2077336,248611958_66638804307_692310,start,2017-04-26 18:57:37,Control,22.0,72.0
3188445,154608572_44529772376_216214,start,2017-04-28 11:24:21,Control,15.0,46.0
3188445,154608572_44529772376_216214,start,2017-04-28 11:24:21,Control,15.0,46.0
5225442,760522270_40703952490_246046,start,2017-04-28 12:51:02,Test,11.0,44.0
5225442,760522270_40703952490_246046,start,2017-04-28 12:51:02,Test,11.0,44.0
2620242,248347737_5845282581_137593,start,2017-04-28 20:28:18,Control,6.0,58.0
2620242,248347737_5845282581_137593,start,2017-04-28 20:28:18,Control,6.0,58.0
2620242,248347737_5845282581_137593,start,2017-04-28 20:23:49,Control,6.0,58.0
2620242,248347737_5845282581_137593,start,2017-04-28 20:23:49,Control,6.0,58.0
9816717,316661049_24546309018_942219,start,2017-04-26 16:21:18,Control,7.0,60.0
9816717,316661049_24546309018_942219,start,2017-04-26 16:21:18,Control,7.0,60.0
8498591,557765647_41003667793_217720,start,2017-04-27 21:00:14,Control,7.0,54.5
